Title,AttDMG,Crit,Magic_DMG,Fire_DMG,Lighting_DMG,Holy_DMG,Weight,Name,TotalReq,Required Intelligence,Required Faith,Required Arcane,NonZero_DMG_Count,NonZero_Req_Count,Rarity
Greatsword of Solitude ,120,100,0,0.0,0.0,0.0,15.5,ASPECTS OF THE CRUCIBLE: BLOOM,27,0,27,0,0,1,Common
Varre's Bouquet ,46,100,0,0.0,0.0,0.0,2.0,LAND OF SHADOW,58,0,58,0,0,1,Common
Battle Axe ,128,100,0,0.0,0.0,0.0,0.5,MULTILAYERED RING OF LIGHT,36,0,36,0,0,1,Common
Katar ,97,110,0,0.0,0.0,0.0,2.5,LIGHT OF MIQUELLA,72,0,72,0,0,1,Common
Misbegotten Shortbow ,68,100,0,0.0,0.0,0.0,3.0,KNIGHT'S LIGHTNING SPEAR,36,0,36,0,0,1,Common
Shotel ,96,100,0,0.0,0.0,0.0,2.0,ELECTROCHARGE,30,0,30,0,0,1,Common
Caestus ,90,100,0,0.0,0.0,0.0,1.5,DRAGONBOLT OF FLORISSAX,52,0,52,0,0,1,Common
Executioner's Greataxe ,150,115,0,0.0,0.0,0.0,15.0,GOLDEN ARCS,22,0,22,0,0,1,Common
Beast-Repellent Torch ,58,100,0,104.0,0.0,0.0,2.5,GIANT GOLDEN ARC,34,0,34,0,1,1,Common
Giant's Red Braid ,82,100,0,53.0,0.0,0.0,2.5,SPIRA,48,0,48,0,1,1,Common
Serpent-Hunter ,111,100,0,0.0,0.0,0.0,12.0,WATCHFUL SPIRIT,26,0,26,0,0,1,Common
Bloodfiend's Fork ,105,100,0,0.0,0.0,0.0,4.5,DIVINE BIRD FEATHERS,24,0,24,0,0,1,Common
Urumi ,101,100,0,0.0,0.0,0.0,3.0,DIVINE BEAST TORNADO,28,0,28,0,0,1,Common
Short Sword ,102,100,0,0.0,0.0,0.0,3.0,FIRE SERPENT,16,0,16,0,0,1,Common
Harp Bow ,62,100,0,0.0,0.0,0.0,2.0,RAIN OF FIRE,52,0,52,0,0,1,Common
Staff of the Avatar ,113,100,0,0.0,0.0,73.0,20.0,MESSMER'S ORB,60,0,60,0,1,1,Common
Pest's Glaive ,120,100,0,0.0,0.0,0.0,7.0,ROAR OF RUGALEA,14,0,14,0,0,1,Common
Maternal Staff ,26,100,0,0.0,0.0,0.0,2.5,FURIOUS BLADE OF ANSBACH,46,0,19,27,0,2,Common
Prince of Death's Staff ,25,100,0,0.0,0.0,0.0,3.0,PEST-THREAD SPEARS,26,0,26,0,0,1,Common
Partisan ,123,100,0,0.0,0.0,0.0,6.5,ROTTEN BUTTERFLIES,33,0,33,0,0,1,Common
Velvet Sword of St Trina ,95,110,61,0.0,0.0,0.0,2.5,MIDRA'S FLAME OF FRENZY,41,0,41,0,1,1,Common
Grossmesser ,115,100,0,0.0,0.0,0.0,4.5,GHOSTFLAME BREATH,38,0,23,15,0,2,Common
Smithscript Greathammer ,141,100,0,0.0,0.0,0.0,9.0,BAYLE'S TYRANNY,49,0,0,49,0,1,Common
Bastard Sword ,138,100,0,0.0,0.0,0.0,9.0,BAYLE'S FLAME LIGHTNING,53,0,0,53,0,1,Common
Raptor Talons ,86,110,0,0.0,0.0,0.0,1.5,GLINTSTONE PEBBLE,10,10,0,0,0,1,Common
Shortbow ,65,100,0,0.0,0.0,0.0,2.5, SWIFT GLINTSTONE SHARD,12,12,0,0,0,1,Common
Death Knight's Twin Axes ,101,100,0,0.0,65.0,0.0,5.5,GREAT GLINTSTONE SHARD,16,16,0,0,1,1,Common
Digger's Staff ,38,100,0,0.0,0.0,0.0,4.5,GLINTSTONE COMETSHARD,36,36,0,0,0,1,Common
Spirit Glaive ,121,100,36,0.0,0.0,0.0,6.5,COMET,52,52,0,0,1,1,Common
Stone Club ,122,100,0,0.0,0.0,0.0,7.0,SHARD SPIRAL,27,27,0,0,0,1,Common
Godskin Peeler ,121,100,0,0.0,0.0,0.0,8.0,GLINTSTONE STARS,12,12,0,0,0,1,Common
Spiked Club ,114,100,0,0.0,0.0,0.0,5.0,STAR SHOWER,24,24,0,0,0,1,Common
Spiked Spear ,120,100,0,0.0,0.0,0.0,6.0,GLINTSTONE ARC,13,13,0,0,0,1,Common
Rotten Staff ,165,100,0,0.0,0.0,0.0,18.0,CRYSTAL BURST,18,18,0,0,0,1,Common
Bloody Helice ,121,100,0,0.0,0.0,0.0,8.0,CANNON OF HAIMA,25,25,0,0,0,1,Common
Great Omenkiller Cleaver ,142,100,0,0.0,0.0,0.0,11.0,GAVEL OF HAIMA,25,25,0,0,0,1,Common
Scepter of the All-Knowing ,99,100,64,0.0,0.0,0.0,4.5,SHATTER EARTH,15,15,0,0,1,1,Common
Sword of Night ,110,100,33,0.0,0.0,0.0,6.5,ROCK BLASTER,21,21,0,0,1,1,Common
Celebrant's Rib-Rake ,109,100,0,0.0,0.0,0.0,5.0,STARLIGHT,15,15,0,0,0,1,Common
Gargoyle's Great Axe ,123,100,0,0.0,0.0,0.0,8.0,TERRA MAGICA,20,20,0,0,0,1,Common
Greatsword of Damnation ,123,100,0,0.0,0.0,79.0,8.0,THOPS'S BARRIER,18,18,0,0,1,1,Common
Fire Knight's Shortsword ,75,110,0,22.0,0.0,0.0,2.0,COMET AZUR,60,60,0,0,1,1,Common
Warped Axe ,124,100,0,0.0,0.0,0.0,7.5,STARS OF RUIN,43,43,0,0,0,1,Common
Bloodfiend's Arm ,147,100,0,0.0,0.0,0.0,20.0,FOUNDING RAIN OF STARS,52,52,0,0,0,1,Common
Rellana's Twin Blades ,103,100,66,66.0,0.0,0.0,8.0,CARIAN PHALANX,34,34,0,0,2,1,Common
Guardian's Swordspear ,139,100,0,0.0,0.0,0.0,9.0,GREATBLADE PHALANX,29,29,0,0,0,1,Common
Clayman's Harpoon ,99,100,64,0.0,0.0,0.0,5.5,MAGIC DOWNPOUR,15,15,0,0,1,1,Common
Thorned Whip ,102,100,0,0.0,0.0,0.0,2.5,LORETTA'S GREATBOW,26,26,0,0,0,1,Common
Godskin Stitcher ,127,100,0,0.0,0.0,0.0,7.0,LORETTA'S MASTERY,46,46,0,0,0,1,Common
Inquisitor's Girandole ,102,100,0,66.0,0.0,0.0,7.5,RENNALA'S FULL MOON,70,70,0,0,1,1,Common
Pata ,104,110,0,0.0,0.0,0.0,4.0,RANNI'S DARK MOON,68,68,0,0,0,1,Common
Cleanrot Spear ,102,100,0,0.0,0.0,66.0,5.5,CARIAN GREATSWORD,24,24,0,0,1,1,Common
Sword of Night and Flame ,87,100,56,56.0,0.0,0.0,4.0,CARIAN PIERCER,27,27,0,0,2,1,Common
Messmer Soldier's Axe ,133,100,0,0.0,0.0,0.0,5.5,ADULA'S MOONBLADE,32,32,0,0,0,1,Common
Forked Greatsword ,124,100,0,0.0,0.0,0.0,4.0,LUCIDITY,17,17,0,0,0,1,Common
Halo Scythe ,118,100,0,0.0,0.0,76.0,8.5,CARIAN RETALIATION,17,17,0,0,1,1,Common
Duelist Greataxe ,170,100,0,0.0,0.0,0.0,20.0,AMBUSH SHARD,23,23,0,0,0,1,Common
Flail ,112,100,0,0.0,0.0,0.0,5.0,NIGHT SHARD,18,18,0,0,0,1,Common
Torchpole ,104,100,0,31.0,0.0,0.0,6.0,NIGHT COMET,38,38,0,0,1,1,Common
Envoy's Long Horn ,120,100,0,0.0,0.0,78.0,9.5,NIGHT MAIDEN'S MIST,14,14,0,0,1,1,Common
Dragon Greatclaw ,120,100,0,0.0,78.0,0.0,16.0,UNSEEN BLADE,12,12,0,0,1,1,Common
Whip ,103,100,0,0.0,0.0,0.0,2.0,UNSEEN FORM,16,16,0,0,0,1,Common
Erdtree Greatbow ,60,100,0,0.0,0.0,65.0,11.0,ETERNAL DARKNESS,35,35,0,0,1,1,Common
Prelate's Inferno Crozier ,156,100,0,0.0,0.0,0.0,23.5,MAGMA SHOT,29,19,10,0,0,2,Common
Siluria's Tree ,90,100,0,0.0,0.0,90.0,10.0,ROILING MAGMA,33,21,12,0,1,2,Rare
Putrescence Cleaver ,141,100,42,0.0,0.0,0.0,13.5,GELMIR'S FURY,43,28,15,0,1,2,Rare
Gargoyle's Greatsword ,133,100,0,0.0,0.0,0.0,11.5,RYKARD'S RANCOR,58,40,18,0,0,2,Common
Full Moon Crossbow ,50,100,50,0.0,0.0,0.0,4.0,GLINTSTONE ICECRAG,15,15,0,0,1,1,Common
Clawmark Seal ,31,100,0,0.0,0.0,0.0,0.5,FREEZING MIST,21,21,0,0,0,1,Common
Freyja's Greatsword ,146,100,0,0.0,0.0,0.0,14.0,FROZEN ARMAMENT,15,15,0,0,0,1,Common
Messmer Soldier's Spear ,122,100,0,0.0,0.0,0.0,8.5,ZAMOR ICE STORM,36,36,0,0,0,1,Common
Fire Knight's Greatsword ,147,100,0,44.0,0.0,0.0,16.0,SHATTERING CRYSTAL,38,38,0,0,1,1,Common
Pulley Crossbow ,65,100,0,0.0,0.0,0.0,4.0,CRYSTAL TORRENT,47,47,0,0,0,1,Common
Miquellan Knight's Sword ,105,100,0,0.0,0.0,68.0,3.5,CRYSTAL RELEASE,41,41,0,0,1,1,Common
Poisoned Hand ,76,100,0,0.0,0.0,0.0,1.0,GRAVITY WELL,17,17,0,0,0,1,Common
Flowing Curved Sword ,109,100,0,0.0,0.0,0.0,3.5,COLLAPSING STARS,36,36,0,0,0,1,Common
Forked-Tongue Hatchet ,125,100,0,0.0,0.0,0.0,4.0,ROCK SLING,18,18,0,0,0,1,Common
Jawbone Axe ,130,100,0,0.0,0.0,0.0,5.5,METEORITE,30,30,0,0,0,1,Common
Rotten Battle Hammer ,126,100,0,0.0,0.0,0.0,10.0,METEORITE OF ASTEL,55,55,0,0,0,1,Common
Lordsworn's Greatsword ,136,110,0,0.0,0.0,0.0,9.0,ORACLE BUBBLES,34,19,0,15,0,2,Common
Carian Glintblade Staff ,22,100,0,0.0,0.0,0.0,2.5,GREAT ORACULAR BUBBLE,43,25,0,18,0,2,Common
Lightning Perfume Bottle ,0,100,0,0.0,110.0,0.0,1.0,BRIARS OF SIN,24,0,24,0,1,1,Common
Lordsworn's Straight Sword ,115,110,0,0.0,0.0,0.0,3.5,RANCORCALL,30,16,14,0,0,2,Common
Eleonora's Poleblade ,72,100,0,72.0,0.0,0.0,6.0,ANCIENT DEATH RANCOR,58,34,24,0,1,2,Rare
Alabaster Lord's Sword ,128,100,38,0.0,0.0,0.0,8.0,EXPLOSIVE GHOSTFLAME,72,42,30,0,1,2,Rare
Inseparable Sword ,98,100,0,0.0,0.0,98.0,10.0,FIA'S MIST,41,23,18,0,1,2,Rare
Curseblade's Cirque ,108,100,0,0.0,0.0,0.0,4.5,TIBIA'S SUMMONS,48,28,20,0,0,2,Common
Fallingstar Beast Jaw ,131,100,85,0.0,0.0,0.0,21.5,URGENT HEAL,8,0,8,0,1,1,Common
Nanaya's Torch ,55,100,0,99.0,0.0,0.0,3.5,HEAL,12,0,12,0,1,1,Common
Iron Spear ,114,100,0,0.0,0.0,0.0,4.5,GREAT HEAL,15,0,15,0,0,1,Common
Star Fist ,105,100,0,0.0,0.0,0.0,3.0,LORD'S HEAL,20,0,20,0,0,1,Common
Devourer's Scepter ,112,100,0,69.0,0.0,0.0,11.5,CURE POISON,10,0,10,0,1,1,Common
Carian Regal Scepter ,24,100,0,0.0,0.0,0.0,3.0,LORD'S AID,12,0,12,0,0,1,Common
Black Steel Twinblade ,112,100,0,0.0,0.0,33.0,8.0,MAGIC FORTIFICATION,10,0,10,0,1,1,Common
Astrologer's Staff ,25,100,0,0.0,0.0,0.0,3.0,FLAME FORTIFICATION,10,0,10,0,0,1,Common
Dark Moon Greatsword ,82,100,98,0.0,0.0,0.0,10.0,LIGHTNING FORTIFICATION,10,0,10,0,1,1,Common
Dragon-Hunter's Great Katana ,152,100,0,0.0,0.0,0.0,10.5,DIVINE FORTIFICATION,10,0,10,0,0,1,Common
Arbalest ,69,100,0,0.0,0.0,0.0,6.0,LORD'S DIVINE FORTIFICATION,27,0,27,0,0,1,Common
Hoslow's Petal Whip ,110,100,0,0.0,0.0,0.0,3.5,REJECTION,12,0,12,0,0,1,Common
Family Heads ,90,100,58,0.0,0.0,0.0,5.5,SHADOW BAIT,13,0,13,0,1,1,Common
Euporia ,84,100,0,0.0,0.0,100.0,8.5,DARKNESS,18,0,18,0,1,1,Common
Vulgar Militia Saw ,126,100,0,0.0,0.0,0.0,8.0,ASSASSIN'S APPROACH,10,0,10,0,0,1,Common
Greatsword of Radahn (Light) ,129,100,83,0.0,0.0,0.0,0.0,GOLDEN VOW (INCANTATION),25,0,25,0,1,1,Common
Sentry's Torch ,56,100,0,0.0,0.0,100.0,5.0,BARRIER OF GOLD,24,0,24,0,1,1,Common
Longbow ,80,100,0,0.0,0.0,0.0,4.0,GOLDEN LIGHTNING FORTIFICATION,24,0,24,0,0,1,Common
Gargoyle's Halberd ,131,100,0,0.0,0.0,0.0,12.0,PROTECTION OF THE ERDTREE,35,0,35,0,0,1,Common
Bastard's Stars ,68,100,81,0.0,0.0,0.0,5.5,WRATH OF GOLD,32,0,32,0,1,1,Common
Golem's Halberd ,158,100,0,0.0,0.0,0.0,21.5,ERDTREE HEAL,42,0,42,0,0,1,Common
Eclipse Shotel ,77,100,0,0.0,0.0,77.0,3.0,BLESSING'S BOON,24,0,24,0,1,1,Common
Omen Cleaver ,142,100,0,0.0,0.0,0.0,11.5,BLESSING OF THE ERDTREE,38,0,38,0,0,1,Common
Anvil Hammer ,131,100,0,85.0,0.0,0.0,22.0,ASPECTS OF THE CRUCIBLE: TAIL,27,0,27,0,1,1,Common
Dagger ,74,130,0,0.0,0.0,0.0,1.5,ELDEN STARS,50,0,50,0,0,1,Common
Starscourge Greatsword ,129,100,83,0.0,0.0,0.0,20.0,BLACK BLADE,46,0,46,0,1,1,Common
Celebrant's Sickle ,79,100,0,0.0,0.0,0.0,1.5,DISCUS OF LIGHT,26,13,13,0,0,2,Common
Winged Greathorn ,130,100,0,0.0,0.0,0.0,11.0,TRIPLE RINGS OF LIGHT,46,23,23,0,0,2,Common
Moonrithyll's Knight Sword ,124,100,80,0.0,0.0,0.0,18.0,RADAGON'S RINGS OF LIGHT,62,31,31,0,1,2,Rare
Envoy's Greathorn ,121,100,0,0.0,0.0,78.0,19.5,LITANY OF PROPER DEATH,34,17,17,0,1,2,Rare
Bandit's Curved Sword ,118,100,0,0.0,0.0,0.0,5.0,ORDER HEALING,22,11,11,0,0,2,Common
Banished Knight's Greatsword ,142,100,0,0.0,0.0,0.0,10.0,ORDER'S BLADE,26,13,13,0,0,2,Common
Dragonscale Blade ,110,100,0,0.0,0.0,0.0,5.5,IMMUTABLE SHIELD,38,19,19,0,0,2,Common
Gargoyle's Black Halberd ,103,100,0,0.0,0.0,123.0,12.0,LAW OF CAUSALITY,29,29,0,0,1,1,Common
Club ,103,100,0,0.0,0.0,0.0,3.5,LAW OF REGRESSION,37,37,0,0,0,1,Common
Death Ritual Spear ,99,110,64,0.0,0.0,0.0,6.5,LIGHTNING SPEAR,17,0,17,0,1,1,Common
Leda's Sword ,101,100,0,0.0,0.0,65.0,7.5,LIGHTNING STRIKE,28,0,28,0,1,1,Common
Rotten Crystal Sword ,102,100,66,0.0,0.0,0.0,4.5,HONED BOLT,24,0,24,0,1,1,Common
Cranial Vessel Candlestand ,98,100,0,98.0,0.0,0.0,12.5,ANCIENT DRAGONS' LIGHTNING SPEAR,32,0,32,0,1,1,Common
Ruins Greatsword ,124,100,37,0.0,0.0,0.0,23.0,ANCIENT DRAGONS' LIGHTNING STRIKE,26,0,26,0,1,1,Common
Fire Knight's Seal ,25,100,0,0.0,0.0,0.0,2.5,LANSSEAX'S GLAIVE,40,0,40,0,0,1,Common
Bonny Butchering Knife ,134,100,0,0.0,0.0,0.0,8.5,FORTISSAX'S LIGHTNING SPEAR,46,0,46,0,0,1,Common
Sword Lance ,132,100,0,0.0,0.0,0.0,9.0,FROZEN LIGHTNING SPEAR,34,0,34,0,0,1,Common
Reduvia ,79,110,0,0.0,0.0,0.0,0.5,DEATH LIGHTNING,47,0,47,0,0,1,Common
Beastclaw Greathammer ,116,100,0,0.0,0.0,75.0,9.0,ELECTRIFY ARMAMENT,15,0,15,0,1,1,Common
Watchdog's Staff ,165,100,0,0.0,0.0,0.0,19.0,DRAGONBOLT BLESSING,21,0,21,0,0,1,Common
Marais Executioner's Sword ,94,100,61,0.0,0.0,0.0,11.5,VYKE'S DRAGONBOLT,23,0,23,0,1,1,Common
Rakshasa's Great Katana ,155,100,0,0.0,0.0,0.0,9.5,CATCH FLAME,8,0,8,0,0,1,Common
Bloodhound's Fang ,141,100,0,0.0,0.0,0.0,11.5,"O, FLAME!",16,0,16,0,0,1,Common
Red Bear's Claw ,104,100,0,0.0,0.0,0.0,4.0,FLAME SLING,10,0,10,0,0,1,Common
Curved Great Club ,145,100,0,0.0,0.0,0.0,10.0,GIANTSFLAME TAKE THEE,30,0,30,0,0,1,Common
Zweihander ,141,100,0,0.0,0.0,0.0,15.5,"FLAME, FALL UPON THEM",28,0,28,0,0,1,Common
Halberd ,125,100,0,0.0,0.0,0.0,8.0,FLAME OF THE FELL GOD,41,0,41,0,0,1,Common
Great Mace ,134,100,0,0.0,0.0,0.0,11.5,"SURGE, O FLAME!",9,0,9,0,0,1,Common
Godslayer's Greatsword ,119,100,0,77.0,0.0,0.0,17.5,"WHIRL, O FLAME!",13,0,13,0,1,1,Common
Venomous Fang ,97,100,0,0.0,0.0,0.0,2.5,BURN O FLAME!,27,0,27,0,0,1,Common
Cane Sword ,96,100,0,0.0,0.0,0.0,2.5,"FLAME, CLEANSE ME",12,0,12,0,0,1,Common
Noble's Estoc ,104,100,0,0.0,0.0,0.0,3.5,"FLAME, PROTECT ME",24,0,24,0,0,1,Common
Stone-Sheathed Sword ,119,100,0,0.0,0.0,0.0,5.0,"FLAME, GRANT ME STRENGTH",15,0,15,0,0,1,Common
Glaive ,132,100,0,0.0,0.0,0.0,10.0,BLACK FLAME,20,0,20,0,0,1,Common
Lucerne ,121,100,0,0.0,0.0,0.0,7.0,SCOURING BLACK FLAME,28,0,28,0,0,1,Common
Steel-Wire Torch ,61,100,0,109.0,0.0,0.0,3.0,BLACK FLAME RITUAL,42,0,42,0,1,1,Common
Dryleaf Arts ,86,100,0,0.0,0.0,0.0,1.0,BLACK FLAME BLADE,17,0,17,0,0,1,Common
Giant's Seal ,25,100,0,0.0,0.0,0.0,1.5,BLACK FLAME'S PROTECTION,30,0,30,0,0,1,Common
Morning Star ,118,100,0,0.0,0.0,0.0,5.0,NOBLE PRESENCE,26,0,26,0,0,1,Common
Staff of the Guilty ,38,100,0,0.0,0.0,0.0,4.5,BEAST CLAW,8,0,8,0,0,1,Common
Azur's Glintstone Staff ,24,100,0,0.0,0.0,0.0,4.0,BESTIAL SLING,10,0,10,0,0,1,Common
Ghiza's Wheel ,156,100,0,0.0,0.0,0.0,19.0,STONE OF GURRANQ,13,0,13,0,0,1,Common
Watchdog's Greatsword ,142,100,0,0.0,0.0,0.0,22.0,BESTIAL CONSTITUTION,9,0,9,0,0,1,Common
Golem Fist ,110,100,0,0.0,0.0,0.0,5.0,BESTIAL VITALITY,12,0,12,0,0,1,Common
Greatbow ,125,100,0,0.0,0.0,0.0,10.0,SWARM OF FLIES,27,0,11,16,0,2,Common
Highland Axe ,128,110,0,0.0,0.0,0.0,4.5,BLOODBOON,31,0,14,17,0,2,Common
Spirit Sword ,92,100,59,0.0,0.0,0.0,2.5,BLOODFLAME BLADE,22,0,12,10,1,2,Rare
Coded Sword ,0,100,0,0.0,0.0,85.0,2.5,POISON MIST,12,0,12,0,1,1,Common
Beastman's Curved Sword ,113,100,0,0.0,0.0,0.0,4.0,POISON ARMAMENT,10,0,10,0,0,1,Common
Serpentbone Blade ,120,100,0,0.0,0.0,0.0,6.0,PEST THREADS,11,0,11,0,0,1,Common
Chainlink Flail ,112,100,0,0.0,0.0,0.0,8.0,THE FLAME OF FRENZY,16,0,16,0,0,1,Common
Gravel Stone Seal ,25,100,0,0.0,0.0,0.0,1.5,UNENDURABLE FRENZY,31,0,31,0,0,1,Common
Horned Warrior's Sword ,108,100,0,0.0,0.0,0.0,5.0,FRENZIED BURST,22,0,22,0,0,1,Common
Rotten Greataxe ,162,100,0,0.0,0.0,0.0,0.0,HOWL OF SHABRIRI,33,0,33,0,0,1,Common
Axe of Godfrey ,165,100,0,0.0,0.0,0.0,18.0,INESCAPABLE FRENZY,21,0,21,0,0,1,Common
Sword of St Trina ,107,100,32,0.0,0.0,0.0,3.0,DRAGONFIRE,27,0,15,12,1,2,Rare
Great Epee ,124,100,0,0.0,0.0,0.0,6.5,AGHEEL'S FLAME,38,0,23,15,0,2,Common
Vulgar Militia Shotel ,121,100,0,0.0,0.0,0.0,8.0,MAGMA BREATH,24,0,14,10,0,2,Common
Scorpion's Stinger ,79,110,0,0.0,0.0,0.0,2.5,THEODORIX'S MAGMA,35,0,21,14,0,2,Common
Rosus' Axe ,112,100,72,0.0,0.0,0.0,5.5,GLINTSTONE BREATH,27,0,15,12,1,2,Rare
Estoc ,107,100,0,0.0,0.0,0.0,4.5,SMARAG'S GLINTSTONE BREATH,38,0,23,15,0,2,Common
Spear of the Impaler ,85,100,0,102.0,0.0,0.0,9.5,ROTTEN BREATH,27,0,15,12,1,2,Rare
Commander's Standard ,138,100,0,0.0,0.0,0.0,11.5,EKZYKES'S DECAY,38,0,23,15,0,2,Common
Gargoyle's Black Blades ,81,100,0,0.0,0.0,97.0,8.5,DRAGONICE,27,0,15,12,1,2,Rare
Sword of Light ,93,100,0,0.0,0.0,93.0,4.0,BOREALIS'S MIST,38,0,23,15,1,2,Rare
Parrying Dagger ,75,110,0,0.0,0.0,0.0,1.5,PLACIDUSAX'S RUIN,36,0,36,0,0,1,Common
Brick Hammer ,122,100,0,0.0,0.0,0.0,12.5,DRAGONCLAW,30,0,17,13,0,2,Common
Death's Poker ,123,100,36,0.0,0.0,0.0,8.5,DRAGONMAW,40,0,24,16,1,2,Rare
Albinauric Bow ,82,100,0,0.0,0.0,0.0,4.5,GREYOLL'S ROAR,45,0,28,17,0,2,Common
Wing of Astel ,65,100,78,0.0,0.0,0.0,2.5,BLACK FLAME RITUAL,42,0,42,0,1,1,Common
Axe of Godrick ,142,100,0,0.0,0.0,0.0,11.0,GIANTSFLAME TAKE THEE,30,0,30,0,0,1,Common
