Title,AttDMG,Crit,Magic_DMG,Fire_DMG,Lighting_DMG,Holy_DMG,Weight,Spell,TotalReq,Required Intelligence,Required Faith,Required Arcane
Bloody Helice | Elden Ring Wiki,121,100,0,0,0,0,8.0,CANNON OF HAIMA,25,25,0,0
Great Omenkiller Cleaver | Elden Ring Wiki,142,100,0,0,0,0,11.0,GAVEL OF HAIMA,25,25,0,0
Scepter of the All-Knowing | Elden Ring Wiki,99,100,64,0,0,0,4.5,SHATTER EARTH,15,15,0,0
Sword of Night | Elden Ring Wiki,110,100,33,0,0,0,6.5,ROCK BLASTER,21,21,0,0
Celebrant's Rib-Rake | Elden Ring Wiki,109,100,0,0,0,0,5.0,STARLIGHT,15,15,0,0
Gargoyle's Great Axe | Elden Ring Wiki,123,100,0,0,0,0,8.0,TERRA MAGICA,20,20,0,0
Greatsword of Damnation | Elden Ring Wiki,123,100,0,0,0,79,8.0,THOPS'S BARRIER,18,18,0,0
Fire Knight's Shortsword | Elden Ring Wiki,75,110,0,22,0,0,2.0,COMET AZUR,60,60,0,0
Warped Axe | Elden Ring Wiki,124,100,0,0,0,0,7.5,STARS OF RUIN,43,43,0,0
Bloodfiend's Arm | Elden Ring Wiki,147,100,0,0,0,0,20.0,FOUNDING RAIN OF STARS,52,52,0,0
Rellana's Twin Blades | Elden Ring Wiki,103,100,66,66,0,0,8.0,CARIAN PHALANX,34,34,0,0
Guardian's Swordspear | Elden Ring Wiki,139,100,0,0,0,0,9.0,GREATBLADE PHALANX,29,29,0,0
Clayman's Harpoon | Elden Ring Wiki,99,100,64,0,0,0,5.5,MAGIC DOWNPOUR,15,15,0,0
Thorned Whip | Elden Ring Wiki,102,100,0,0,0,0,2.5,LORETTA'S GREATBOW,26,26,0,0
Godskin Stitcher | Elden Ring Wiki,127,100,0,0,0,0,7.0,LORETTA'S MASTERY,46,46,0,0
Inquisitor's Girandole | Elden Ring Wiki,102,100,0,66,0,0,7.5,RENNALA'S FULL MOON,70,70,0,0
Pata | Elden Ring Wiki,104,110,0,0,0,0,4.0,RANNI'S DARK MOON,68,68,0,0
Cleanrot Spear | Elden Ring Wiki,102,100,0,0,0,66,5.5,CARIAN GREATSWORD,24,24,0,0
Sword of Night and Flame | Elden Ring Wiki,87,100,56,56,0,0,4.0,CARIAN PIERCER,27,27,0,0
Messmer Soldier's Axe | Elden Ring Wiki,133,100,0,0,0,0,5.5,ADULA'S MOONBLADE,32,32,0,0
Forked Greatsword | Elden Ring Wiki,124,100,0,0,0,0,4.0,LUCIDITY,17,17,0,0
Halo Scythe | Elden Ring Wiki,118,100,0,0,0,76,8.5,CARIAN RETALIATION,17,17,0,0
Duelist Greataxe | Elden Ring Wiki,170,100,0,0,0,0,20.0,AMBUSH SHARD,23,23,0,0
Flail | Elden Ring Wiki,112,100,0,0,0,0,5.0,NIGHT SHARD,18,18,0,0
Torchpole | Elden Ring Wiki,104,100,0,31,0,0,6.0,NIGHT COMET,38,38,0,0
Envoy's Long Horn | Elden Ring Wiki,120,100,0,0,0,78,9.5,NIGHT MAIDEN'S MIST,14,14,0,0
Dragon Greatclaw | Elden Ring Wiki,120,100,0,0,78,0,16.0,UNSEEN BLADE,12,12,0,0
Whip | Elden Ring Wiki,103,100,0,0,0,0,2.0,UNSEEN FORM,16,16,0,0
Erdtree Greatbow | Elden Ring Wiki,60,100,0,0,0,65,11.0,ETERNAL DARKNESS,35,35,0,0
Prelate's Inferno Crozier | Elden Ring Wiki,156,100,0,0,0,0,23.5,MAGMA SHOT,29,19,10,0
Siluria's Tree | Elden Ring Wiki,90,100,0,0,0,90,10.0,ROILING MAGMA,33,21,12,0
Putrescence Cleaver | Elden Ring Wiki,141,100,42,0,0,0,13.5,GELMIR'S FURY,43,28,15,0
Gargoyle's Greatsword | Elden Ring Wiki,133,100,0,0,0,0,11.5,RYKARD'S RANCOR,58,40,18,0
Full Moon Crossbow | Elden Ring Wiki,50,100,50,0,0,0,4.0,GLINTSTONE ICECRAG,15,15,0,0
Clawmark Seal | Elden Ring Wiki,31,100,0,0,0,0,0.5,FREEZING MIST,21,21,0,0
Freyja's Greatsword | Elden Ring Wiki,146,100,0,0,0,0,14.0,FROZEN ARMAMENT,15,15,0,0
Messmer Soldier's Spear | Elden Ring Wiki,122,100,0,0,0,0,8.5,ZAMOR ICE STORM,36,36,0,0
Fire Knight's Greatsword | Elden Ring Wiki,147,100,0,44,0,0,16.0,SHATTERING CRYSTAL,38,38,0,0
Pulley Crossbow | Elden Ring Wiki,65,100,0,0,0,0,4.0,CRYSTAL TORRENT,47,47,0,0
Miquellan Knight's Sword | Elden Ring Wiki,105,100,0,0,0,68,3.5,CRYSTAL RELEASE,41,41,0,0
Poisoned Hand | Elden Ring Wiki,76,100,0,0,0,0,1.0,GRAVITY WELL,17,17,0,0
Flowing Curved Sword | Elden Ring Wiki,109,100,0,0,0,0,3.5,COLLAPSING STARS,36,36,0,0
Forked-Tongue Hatchet | Elden Ring Wiki,125,100,0,0,0,0,4.0,ROCK SLING,18,18,0,0
Jawbone Axe | Elden Ring Wiki,130,100,0,0,0,0,5.5,METEORITE,30,30,0,0
Rotten Battle Hammer | Elden Ring Wiki,126,100,0,0,0,0,10.0,METEORITE OF ASTEL,55,55,0,0
Lordsworn's Greatsword | Elden Ring Wiki,136,110,0,0,0,0,9.0,ORACLE BUBBLES,34,19,0,15
Carian Glintblade Staff | Elden Ring Wiki,22,100,0,0,0,0,2.5,GREAT ORACULAR BUBBLE,43,25,0,18
Lightning Perfume Bottle | Elden Ring Wiki,0,100,0,0,110,0,1.0,BRIARS OF SIN,24,0,24,0
Lordsworn's Straight Sword | Elden Ring Wiki,115,110,0,0,0,0,3.5,RANCORCALL,30,16,14,0
Eleonora's Poleblade | Elden Ring Wiki,72,100,0,72,0,0,6.0,ANCIENT DEATH RANCOR,58,34,24,0
Alabaster Lord's Sword | Elden Ring Wiki,128,100,38,0,0,0,8.0,EXPLOSIVE GHOSTFLAME,72,42,30,0
Inseparable Sword | Elden Ring Wiki,98,100,0,0,0,98,10.0,FIA'S MIST,41,23,18,0
Curseblade's Cirque | Elden Ring Wiki,108,100,0,0,0,0,4.5,TIBIA'S SUMMONS,48,28,20,0
Fallingstar Beast Jaw | Elden Ring Wiki,131,100,85,0,0,0,21.5,URGENT HEAL,8,0,8,0
Nanaya's Torch | Elden Ring Wiki,55,100,0,99,0,0,3.5,HEAL,12,0,12,0
Iron Spear | Elden Ring Wiki,114,100,0,0,0,0,4.5,GREAT HEAL,15,0,15,0
Star Fist | Elden Ring Wiki,105,100,0,0,0,0,3.0,LORD'S HEAL,20,0,20,0
Devourer's Scepter | Elden Ring Wiki,112,100,0,69,0,0,11.5,CURE POISON,10,0,10,0
Carian Regal Scepter | Elden Ring Wiki,24,100,0,0,0,0,3.0,LORD'S AID,12,0,12,0
Black Steel Twinblade | Elden Ring Wiki,112,100,0,0,0,33,8.0,MAGIC FORTIFICATION,10,0,10,0
Astrologer's Staff | Elden Ring Wiki,25,100,0,0,0,0,3.0,FLAME FORTIFICATION,10,0,10,0
Dark Moon Greatsword | Elden Ring Wiki,82,100,98,0,0,0,10.0,LIGHTNING FORTIFICATION,10,0,10,0
Dragon-Hunter's Great Katana | Elden Ring Wiki,152,100,0,0,0,0,10.5,DIVINE FORTIFICATION,10,0,10,0
Arbalest | Elden Ring Wiki,69,100,0,0,0,0,6.0,LORD'S DIVINE FORTIFICATION,27,0,27,0
Hoslow's Petal Whip | Elden Ring Wiki,110,100,0,0,0,0,3.5,REJECTION,12,0,12,0
Family Heads | Elden Ring Wiki,90,100,58,-,-,-,5.5,SHADOW BAIT,13,0,13,0
Euporia | Elden Ring Wiki,84,100,0,0,0,100,8.5,DARKNESS,18,0,18,0
Vulgar Militia Saw | Elden Ring Wiki,126,100,0,0,0,0,8.0,ASSASSIN'S APPROACH,10,0,10,0
Greatsword of Radahn (Light) | Elden Ring Wiki,129,100,83,0,0,0,0.0,GOLDEN VOW (INCANTATION),25,0,25,0
Sentry's Torch | Elden Ring Wiki,56,100,0,0,0,100,5.0,BARRIER OF GOLD,24,0,24,0
Longbow | Elden Ring Wiki,80,100,0,0,0,0,4.0,GOLDEN LIGHTNING FORTIFICATION,24,0,24,0
Gargoyle's Halberd | Elden Ring Wiki,131,100,0,0,0,0,12.0,PROTECTION OF THE ERDTREE,35,0,35,0
Bastard's Stars | Elden Ring Wiki,68,100,81,0,0,0,5.5,WRATH OF GOLD,32,0,32,0
Golem's Halberd | Elden Ring Wiki,158,100,0,0,0,0,21.5,ERDTREE HEAL,42,0,42,0
Eclipse Shotel | Elden Ring Wiki,77,100,0,0,0,77,3.0,BLESSING'S BOON,24,0,24,0
Omen Cleaver | Elden Ring Wiki,142,100,0,0,0,0,11.5,BLESSING OF THE ERDTREE,38,0,38,0
Anvil Hammer | Elden Ring Wiki,131,100,0,85,0,0,22.0,ASPECTS OF THE CRUCIBLE: TAIL,27,0,27,0
Dagger | Elden Ring Wiki,74,130,0,0,0,0,1.5,ELDEN STARS,50,0,50,0
Starscourge Greatsword | Elden Ring Wiki,129,100,83,0,0,0,20.0,BLACK BLADE,46,0,46,0
Celebrant's Sickle | Elden Ring Wiki,79,100,0,0,0,0,1.5,DISCUS OF LIGHT,26,13,13,0
Winged Greathorn | Elden Ring Wiki,130,100,0,0,0,0,11.0,TRIPLE RINGS OF LIGHT,46,23,23,0
Moonrithyll's Knight Sword | Elden Ring Wiki,124,100,80,0,0,0,18.0,RADAGON'S RINGS OF LIGHT,62,31,31,0
Envoy's Greathorn | Elden Ring Wiki,121,100,0,0,0,78,19.5,LITANY OF PROPER DEATH,34,17,17,0
Bandit's Curved Sword | Elden Ring Wiki,118,100,0,0,0,0,5.0,ORDER HEALING,22,11,11,0
Banished Knight's Greatsword | Elden Ring Wiki,142,100,0,0,0,0,10.0,ORDER'S BLADE,26,13,13,0
Dragonscale Blade | Elden Ring Wiki,110,100,0,0,0,0,5.5,IMMUTABLE SHIELD,38,19,19,0
Gargoyle's Black Halberd | Elden Ring Wiki,103,100,0,0,0,123,12.0,LAW OF CAUSALITY,29,29,0,0
Club | Elden Ring Wiki,103,100,0,0,0,0,3.5,LAW OF REGRESSION,37,37,0,0
Death Ritual Spear | Elden Ring Wiki,99,110,64,0,0,0,6.5,LIGHTNING SPEAR,17,0,17,0
Leda's Sword | Elden Ring Wiki,101,100,0,0,0,65,7.5,LIGHTNING STRIKE,28,0,28,0
Rotten Crystal Sword | Elden Ring Wiki,102,100,66,0,0,0,4.5,HONED BOLT,24,0,24,0
Cranial Vessel Candlestand | Elden Ring Wiki,98,100,0,98,0,0,12.5,ANCIENT DRAGONS' LIGHTNING SPEAR,32,0,32,0
Ruins Greatsword | Elden Ring Wiki,124,100,37,0,0,0,23.0,ANCIENT DRAGONS' LIGHTNING STRIKE,26,0,26,0
Fire Knight's Seal | Elden Ring Wiki,25,100,0,0,0,0,2.5,LANSSEAX'S GLAIVE,40,0,40,0
Bonny Butchering Knife | Elden Ring Wiki,134,100,0,0,0,0,8.5,FORTISSAX'S LIGHTNING SPEAR,46,0,46,0
Sword Lance | Elden Ring Wiki,132,100,0,0,0,0,9.0,FROZEN LIGHTNING SPEAR,34,0,34,0
Reduvia | Elden Ring Wiki,79,110,0,0,0,0,0.5,DEATH LIGHTNING,47,0,47,0
Beastclaw Greathammer | Elden Ring Wiki,116,100,0,0,0,75,9.0,ELECTRIFY ARMAMENT,15,0,15,0
Watchdog's Staff | Elden Ring Wiki,165,100,0,0,0,0,19.0,DRAGONBOLT BLESSING,21,0,21,0
Marais Executioner's Sword | Elden Ring Wiki,94,100,61,0,0,0,11.5,VYKE'S DRAGONBOLT,23,0,23,0
Rakshasa's Great Katana | Elden Ring Wiki,155,100,0,0,0,0,9.5,CATCH FLAME,8,0,8,0
Bloodhound's Fang | Elden Ring Wiki,141,100,0,0,0,0,11.5,"O, FLAME!",16,0,16,0
Red Bear's Claw | Elden Ring Wiki,104,100,0,0,0,0,4.0,FLAME SLING,10,0,10,0
Curved Great Club | Elden Ring Wiki,145,100,0,0,0,0,10.0,GIANTSFLAME TAKE THEE,30,0,30,0
Zweihander | Elden Ring Wiki,141,100,0,0,0,0,15.5,"FLAME, FALL UPON THEM",28,0,28,0
Halberd | Elden Ring Wiki,125,100,0,0,0,0,8.0,FLAME OF THE FELL GOD,41,0,41,0
Great Mace | Elden Ring Wiki,134,100,0,0,0,0,11.5,"SURGE, O FLAME!",9,0,9,0
Godslayer's Greatsword | Elden Ring Wiki,119,100,0,77,0,0,17.5,"WHIRL, O FLAME!",13,0,13,0
Venomous Fang | Elden Ring Wiki,97,100,0,0,0,0,2.5,BURN O FLAME!,27,0,27,0
Cane Sword | Elden Ring Wiki,96,100,0,0,0,0,2.5,"FLAME, CLEANSE ME",12,0,12,0
Noble's Estoc | Elden Ring Wiki,104,100,0,0,0,0,3.5,"FLAME, PROTECT ME",24,0,24,0
Stone-Sheathed Sword | Elden Ring Wiki,119,100,0,0,0,0,5.0,"FLAME, GRANT ME STRENGTH",15,0,15,0
Glaive | Elden Ring Wiki,132,100,0,0,0,0,10.0,BLACK FLAME,20,0,20,0
Lucerne | Elden Ring Wiki,121,100,0,0,0,0,7.0,SCOURING BLACK FLAME,28,0,28,0
Steel-Wire Torch | Elden Ring Wiki,61,100,0,109,0,0,3.0,BLACK FLAME RITUAL,42,0,42,0
Dryleaf Arts | Elden Ring Wiki,86,100,0,0,0,0,1.0,BLACK FLAME BLADE,17,0,17,0
Giant's Seal | Elden Ring Wiki,25,100,0,0,0,0,1.5,BLACK FLAME'S PROTECTION,30,0,30,0
Morning Star | Elden Ring Wiki,118,100,0,0,0,0,5.0,NOBLE PRESENCE,26,0,26,0
Staff of the Guilty | Elden Ring Wiki,38,100,0,0,0,0,4.5,BEAST CLAW,8,0,8,0
Azur's Glintstone Staff | Elden Ring Wiki,24,100,0,0,0,0,4.0,BESTIAL SLING,10,0,10,0
Ghiza's Wheel | Elden Ring Wiki,156,100,0,0,0,0,19.0,STONE OF GURRANQ,13,0,13,0
Watchdog's Greatsword | Elden Ring Wiki,142,100,0,0,0,0,22.0,BESTIAL CONSTITUTION,9,0,9,0
Golem Fist | Elden Ring Wiki,110,100,0,0,0,0,5.0,BESTIAL VITALITY,12,0,12,0
Greatbow | Elden Ring Wiki,125,100,0,0,0,0,10.0,SWARM OF FLIES,27,0,11,16
Highland Axe | Elden Ring Wiki,128,110,0,0,0,0,4.5,BLOODBOON,31,0,14,17
Spirit Sword | Elden Ring Wiki,92,100,59,0,0,0,2.5,BLOODFLAME BLADE,22,0,12,10
Coded Sword | Elden Ring Wiki,0,100,0,0,0,85,2.5,POISON MIST,12,0,12,0
Beastman's Curved Sword | Elden Ring Wiki,113,100,0,0,0,0,4.0,POISON ARMAMENT,10,0,10,0
Serpentbone Blade | Elden Ring Wiki,120,100,0,0,0,0,6.0,PEST THREADS,11,0,11,0
Chainlink Flail | Elden Ring Wiki,112,100,0,0,0,0,8.0,THE FLAME OF FRENZY,16,0,16,0
Gravel Stone Seal | Elden Ring Wiki,25,100,0,0,0,0,1.5,UNENDURABLE FRENZY,31,0,31,0
Horned Warrior's Sword | Elden Ring Wiki,108,100,0,0,0,0,5.0,FRENZIED BURST,22,0,22,0
Rotten Greataxe | Elden Ring Wiki,162,100,0,0,0,0,0.0,HOWL OF SHABRIRI,33,0,33,0
Axe of Godfrey | Elden Ring Wiki,165,100,0,0,0,0,18.0,INESCAPABLE FRENZY,21,0,21,0
Sword of St Trina | Elden Ring Wiki,107,100,32,0,0,0,3.0,DRAGONFIRE,27,0,15,12
Great Epee | Elden Ring Wiki,124,100,0,0,0,0,6.5,AGHEEL'S FLAME,38,0,23,15
Vulgar Militia Shotel | Elden Ring Wiki,121,100,0,0,0,0,8.0,MAGMA BREATH,24,0,14,10
Scorpion's Stinger | Elden Ring Wiki,79,110,0,0,0,0,2.5,THEODORIX'S MAGMA,35,0,21,14
Rosus' Axe | Elden Ring Wiki,112,100,72,0,0,0,5.5,GLINTSTONE BREATH,27,0,15,12
Estoc | Elden Ring Wiki,107,100,0,0,0,0,4.5,SMARAG'S GLINTSTONE BREATH,38,0,23,15
Spear of the Impaler | Elden Ring Wiki,85,100,0,102,0,0,9.5,ROTTEN BREATH,27,0,15,12
Commander's Standard | Elden Ring Wiki,138,100,0,0,0,0,11.5,EKZYKES'S DECAY,38,0,23,15
Gargoyle's Black Blades | Elden Ring Wiki,81,100,0,0,0,97,8.5,DRAGONICE,27,0,15,12
Sword of Light | Elden Ring Wiki,93,100,0,0,0,93,4.0,BOREALIS'S MIST,38,0,23,15
Parrying Dagger | Elden Ring Wiki,75,110,0,0,0,0,1.5,PLACIDUSAX'S RUIN,36,0,36,0
Brick Hammer | Elden Ring Wiki,122,100,0,0,0,0,12.5,DRAGONCLAW,30,0,17,13
Death's Poker | Elden Ring Wiki,123,100,36,0,0,0,8.5,DRAGONMAW,40,0,24,16
Albinauric Bow | Elden Ring Wiki,82,100,0,0,0,0,4.5,GREYOLL'S ROAR,45,0,28,17
Wing of Astel | Elden Ring Wiki,65,100,78,0,0,0,2.5,BLACK FLAME RITUAL,42,0,42,0
Axe of Godrick | Elden Ring Wiki,142,100,0,0,0,0,11.0,GIANTSFLAME TAKE THEE,30,0,30,0
